,Case,Year,Month,time_hr,time_cat,Type,Activity,Area,Location,Sex,Age,Fatal,Species,Species_Extracted
191,2009.12.20.b,2009,12,11.0,Midday,Boat,Kayaking,Queensland,Mudjimba Island,M,unknown,N,unknown,
192,2009.12.20.a,2009,12,7.0,Early morning,Unprovoked,Spearfishing,Queensland,Lamont Reef,M,18,N,"Bull shark, 3m",bull
193,2009.12.13,2009,12,7.0,Early morning,Unprovoked,Surfing,New South Wales,Coffee Head,M,39,N,unknown,
194,2009.12.12,2009,12,7.0,Early morning,Boat,Rowing,New South Wales,Hawks Nest Beach,unknown,unknown,N,White shark,white
195,2009.11.08,2009,11,10.0,Morning,Unprovoked,Kayaking,South Australia,Second Valley,M,25,N,2 m shark,
196,2009.10.30,2009,10,8.0,Morning,Unprovoked,Kayaking,Victoria,Portland,M,27,N,"White shark, 4m",white
197,2009.10.28,2009,10,7.0,Early morning,Unprovoked,Paddle-boarding,New South Wales,Lennox Heads,F,17,N,unknown,
198,2009.10.14.R,2009,10,,,Unprovoked,Diving,Western Australia,unknown,M,23,N,"Bull shark, 10'",bull
199,2009.07.30,2009,7,6.0,Early morning,Unprovoked,Surfing,New South Wales,Broken Head,M,14,N,unknown,
200,2009.06.27,2009,6,8.0,Morning,Unprovoked,Surfing,New South Wales,"Seven Mile Beach, Gerroa",M,52,N,"Thought to involve a Bronze whale shark, 2m",whale
201,2009.04.12,2009,4,8.0,Morning,Unprovoked,Surf skiing ,New South Wales,Fingal Bay,M,40,N,2' to 3' shark,
202,2009.03.20,2009,3,18.0,Nightfall,Unprovoked,Surfing,New South Wales,Blue Bay,M,17,N,Bronze whaler shark?,whaler
203,2009.03.19.b,2009,3,6.0,Early morning,Unprovoked,Surfing,New South Wales,South Broulee,M,unknown,N,unknown,
204,2009.03.19.a,2009,3,7.0,Early morning,Unprovoked,Surfing,New South Wales,Bateman's Bay,F,unknown,N,unknown,
205,2009.03.16.R,2009,3,,,Provoked,Wading,Western Australia,"The Natural Jetty, Rottnest Island",M,21,N,"Wobbegong shark, 60cm",wobbegong
206,2009.03.01.a,2009,3,6.0,Early morning,Unprovoked,Surfing,New South Wales,Avalon,M,15,N,2.6 m shark,
207,2009.02.22,2009,2,10.0,Morning,Unprovoked,Fishing,Queensland,Batt Reef,M,unknown,N,unknown,
208,2009.02.18,2009,2,17.0,Dusk,Unprovoked,Surfing,New South Wales,"Shelly Beach, near Port Macquarie",M,unknown,N,unknown,
209,2009.02.12,2009,2,19.0,Evening,Unprovoked,Surfing,New South Wales,"Bondi Beach, Sydney",M,33,N,"White shark, 2.5m ",white
210,2009.02.11,2009,2,6.0,Early morning,Unprovoked,"Diving, but on the surface when bitten by the shark",New South Wales,"Garden Point, Woolloomooloo Sydney Harbour",M,31,N,"Bull shark, 2.7 m ",bull
211,2009.02.07.b,2009,2,11.0,Midday,Unprovoked,Surfing,New South Wales,Cellito Beach,M,41,N,"White shark, 12' ",white
212,2009.02.07.a,2009,2,7.0,Early morning,Unprovoked,Surfing,New South Wales,Sandon,M,unknown,N,unknown,
213,2009.01.24.b,2009,1,16.0,Late afternoon,Unprovoked,Swimming,New South Wales,"Surf Beach, Batemans Bay",M,19,N,unknown,
214,2009.01.18,2009,1,9.0,Morning,Boat,Fishing,Victoria,Off Tower Hill,M,unknown,N,"White shark, 5.5 m ",white
215,2009.01.12,2009,1,10.0,Morning,Unprovoked,Snorkeling,New South Wales,"Windang,       Lake Illawara",M,24,N,"Dusky shark, 2m",dusky
216,2009.01.11.b,2009,1,15.0,Late afternoon,Unprovoked,Surfing,Tasmania,Binalong Bay,F,13,N,"White shark, 5m",white
217,2009.01.11.a,2009,1,9.0,Morning,Unprovoked,Surfing,New South Wales,Fingal Beach,M,31,N,"White shark, 3.5m",white
218,2008.12.30,2008,12,9.0,Morning,unknown,Crabbing,Western Australia,Port Kennedy Beach,unknown,unknown,N,No shark involvement,
219,2008.12.27.d,2008,12,,,Boat,Yacht race,Tasmania,near Schouten Island,unknown,unknown,N,2 m shark,
220,2008.12.27.c,2008,12,,,Unprovoked,Boogie Boarding,New South Wales,Seal Rocks,M,10,N,unknown,
221,2008.12.27.b,2008,12,11.0,Midday,Unprovoked,Kayaking,New South Wales,"Long Reef, north of Sydney",M,29,N,"White shark, 4m to 5m ",white
222,2008.12.27.a,2008,12,7.0,Early morning,Unprovoked,Snorkeling,Western Australia,Port Kennedy Beach,M,51,Y,4 to 5m white shark,white
223,2008.12.06,2008,12,8.0,Morning,Boat,Fishing,New South Wales,Mowarry Point,unknown,unknown,N,"White shark, 4.5 to 5 m ",white
224,2008.11.09.b,2008,11,,,Boat,Fishing,South Australia,North Haven,M,unknown,N,Bronze whaler shark,whaler
225,2008.10.22,2008,10,17.0,Dusk,Provoked,Scuba diving,New South Wales,"Oceanworld, Manley",M,34,N,"Grey nurse shark, 3m",nurse
226,2008.10.12,2008,10,,,Provoked,Fishing,Northern Territory,Darwin,M,50,N," reef shark, 1.8m",reef
227,2008.10.11,2008,10,15.0,Late afternoon,Unprovoked,Surfing,New South Wales,Lake Macquarie,M,15,N,unknown,
228,2008.09.15,2008,9,14.0,Afternoon,Provoked,Swimming,Northern Territory,Near Croker Island,M,43,N,Bronze whaler shark,whaler
229,2008.09.07,2008,9,12.0,Midday,Unprovoked,Surfing,New South Wales,"Clarks Beach, Byron Bay",M,51,N,3 m shark,
230,2008.08.30.c,2008,8,,,Unprovoked,Surfing,New South Wales,"Tallow Beach, Byron Bay",M,29,N,unknown,
231,2008.07.30.R,2008,7,10.0,Morning,Unprovoked,Surfing,Victoria,Levys Beach,M,31,N,8' white shark or 7-gill shark,white
232,2008.05.10,2008,5,7.0,Early morning,Unprovoked,Swimming,Western Australia,Albany,M,37,N,"White shark, 4m",white
233,2008.04.20.a,2008,4,,,Unprovoked,unknown,New South Wales,Crescent Head,M,unknown,unknown,"Tiger shark, 2.3m ",tiger
234,2008.04.17,2008,4,11.0,Midday,unknown,Surfing,Queensland,"Duranbah, Greenmount Beach",M,19,N,Shark involvement not confirmed; thought to be a barracuda bite,
235,2008.04.08,2008,4,8.0,Morning,Unprovoked,Body boarding,New South Wales,"Lighthouse Beach, Ballina",M,16,Y,Bull shark,bull
236,2008.02.07,2008,2,,,Unprovoked,Surfing,New South Wales,Horseshoe Bay,F,14,N,1 m shark,
237,2008.01.27,2008,1,7.0,Early morning,Provoked,Accidentally stood on hooked shark's tail before attempting to gut it ,Queensland,200 km east of Coolangatta  ,M,20,N,"Mako shark, 90kg",mako
238,2007.12.18,2007,12,11.0,Midday,Unprovoked,Surfing,New South Wales,Jimmy's Beach,M,31,N,2 m shark,
239,2007.12.15,2007,12,,,Unprovoked,Swimming,Queensland,South Stradbroke Island,M,unknown,N,"""a small shark""",small
240,2007.12.14,2007,12,20.0,Night,unknown,Swimming,New South Wales,Bondi ,M,34,N,Not a shark attack; it was a hoax,
241,2007.11.18,2007,11,,,Provoked,Fishing,Western Australia,In a tidal creek    5 km from Wickham,M,32,N,reef shark,reef
242,2007.11.08,2007,11,14.0,Afternoon,Unprovoked,Surfing,New South Wales,"Wategos Beach, Byon Bay",M,unknown,N,unknown,
243,2007.10.15,2007,10,11.0,Midday,Unprovoked,Surf-skiing,New South Wales,Byron Bay,F,52,N,"White shark, 2.5m ",white
244,2007.10.13,2007,10,12.0,Midday,Unprovoked,Spearfishing,Queensland,Holmes Reef,M,31,N,Bronze whaler shark,whaler
245,2007.06.05,2007,6,17.0,Dusk,Unprovoked,Surfing,New South Wales,"Shelly Beach, Crescent Head",M,unknown,N,unknown,
246,2007.05.16,2007,5,14.0,Afternoon,Unprovoked,Wading,Western Australia,"Warra Beach, Coral Bay",F,38,N,2.5 m shark,
247,2007.05.12,2007,5,17.0,Dusk,Unprovoked,Surfing,Victoria,Warrnambool,M,19,N,10' shark,
248,2007.05.08,2007,5,12.0,Midday,unknown,Swimming,New South Wales,Kingscliff Beach,M,45,Y,unknown,
249,2007.04.26,2007,4,18.0,Nightfall,Unprovoked,Swimming / jumping off a jetty,Queensland,"Mornington Island, Gulf of Carpentaria",F,13,N,"""a small shark""",small
250,2007.03.20,2007,3,10.0,Morning,Unprovoked,Surfing,New South Wales,South Golden Beach,F,42,N,1.5 m shark,
251,2007.03.12,2007,3,15.0,Late afternoon,Unprovoked,Swimming,Queensland,"Moore Park, north of Bundaberg",F,59,N,2 to 2.5 m shark,
252,2007.02.03,2007,2,8.0,Morning,Unprovoked,Boogie Boarding,New South Wales,Shelly Beach,M,26,N,unknown,
253,2007.01.23,2007,1,10.0,Morning,Unprovoked,Diving,New South Wales,Cape Howe,M,41,N,"White shark, 3m",white
254,2007.01.19,2007,1,,,unknown,Swimming,New South Wales,Brunswick Heads,M,20,Y,unknown,
255,2007.01.09,2007,1,6.0,Early morning,Unprovoked,Surfing,New South Wales,Sandbar Beach,M,unknown,N,2.4 m shark,
256,2006.12.18,2006,12,20.0,Night,Unprovoked,Surfing,Victoria,"Winki Pop, Bells Beach",M,25,N,2.5 to 3 m shark,
257,2006.12.02,2006,12,7.0,Early morning,Unprovoked,Body boarding,Western Australia,Wharton Beach,M,15,N,"White shark, 5m ",white
258,2006.09.04,2006,9,11.0,Midday,unknown,Diving,Queensland,Great Barrier Reef  ,M,44,Y,No shark involvement,
259,2006.08.29.a,2006,8,16.0,Late afternoon,Unprovoked,Surfing,South Australia,"Pennington Bay, Kangaroo Island",M,unknown,N,"Bronze whaler shark, 6'",whaler
260,2006.07.17.R,2006,7,,,unknown,unknown,Torres Strait,Western Province,unknown,unknown,N,unknown,
261,2006.06.05,2006,6,11.0,Midday,Unprovoked,Surfing,South Australia,Waitpinga,M,40,N,14' white shark,white
262,2006.05.02,2006,5,16.0,Late afternoon,Provoked,Snorkeling,Queensland,"Moffat Beach, Caloundra",M,46,N,"Wobbegong shark, 2 m ",wobbegong
263,2006.04.11,2006,4,13.0,Afternoon,Unprovoked,Surfing,New South Wales,Newcastle Beach,M,15,N,"Bronze whaler shark, a  juvenile ",whaler
264,2006.03.15,2006,3,17.0,Dusk,Unprovoked,Surfing,New South Wales,"Bondi, Sydney",M,15,N,"Bronze whaler shark, 2 m",whaler
265,2006.02.13,2006,2,11.0,Midday,Unprovoked,Wading,Queensland,"Golden Beach, Caloundra",M,18,N,unknown,
266,2006.02.12.b,2006,2,,,Unprovoked,Swimming,Queensland,"Point Vernon, Hervey Bay",M,unknown,N,unknown,
