,Case,Year,Month,time_hr,time_cat,Type,Activity,Area,Location,Sex,Age,Fatal,Species,Species_Extracted
510,1974.09.01,1974,9,,,Sea Disaster,3.3 m fishing boat sank. Treveluwe & Peter Hodgson (wearing lifejackets) were drifting in the current,Queensland,"Junpinpin, off Stradbroke Island",M,30,N,unknown,
511,1974.01.09,1974,1,,,Unprovoked,Diving for abalone,South Australia,Streaky Bay,M,26,Y,White shark,white
512,1974.00.00.b,1974,12,,,Unprovoked,Spearfishing,Western Australia,Emu Channel,M,unknown,N,"Bronze whaler shark, 4' ",whaler
513,1973.11.25,1973,11,,,Unprovoked,unknown,Western Australia,Swan River,unknown,unknown,N,unknown,
514,1973.11.03,1973,11,,,Unprovoked,unknown,Queensland,Gin Arm Creek,unknown,unknown,N,unknown,
515,1973.08.27,1973,8,,,Unprovoked,unknown,Queensland,Palm Cove Beach,unknown,21,unknown,unknown,
516,1973.08.25,1973,8,,,Unprovoked,Surfing,Queensland,"Point Lookout, Stradbroke Island",M,16,N,12' shark,
517,1973.03.26,1973,3,,,Unprovoked,unknown,Queensland,Palm Island,M,unknown,N,unknown,
518,1972.12.22,1972,12,,,Unprovoked,unknown,Queensland,Currumbin Rock,M,unknown,N,unknown,
519,1972.12.08,1972,12,,,Provoked,unknown,New South Wales,"Marineland, Sydney",unknown,24,N,unknown,
520,1972.10.22,1972,10,,,Unprovoked,Spearfishing,Queensland,"Stevens Reef, 70 miles from Mackay",M,24,N,unknown,
521,1972.10.21,1972,10,,,Unprovoked,Surfing,New South Wales,Tabourie Beach,M,19,N,"Bronze whaler shark, 10' ",whaler
522,1972.08.08,1972,8,,,Unprovoked,Diving for abalone,Tasmania,Tasman Island,M,45,N,"White shark, 10'",white
523,1972.06.26.b,1972,6,,,Unprovoked,unknown,Queensland,Pancake Creek,M,unknown,Y,unknown,
524,1972.06.26.a,1972,6,,,Unprovoked,unknown,Queensland,Pancake Creek,M,unknown,Y,unknown,
525,1972.04.01.b,1972,4,,,Unprovoked,unknown,Queensland,Wellington Point,F,unknown,N,unknown,
526,1972.02.20,1972,2,11.0,Midday,Unprovoked,Surfing,Victoria,"Wilson's Promontory, Waratah Bay",M,18,N,7' shark,
527,1972.02.12,1972,2,,,Unprovoked,unknown,Tasmania,Elliot's Cove,unknown,unknown,N,unknown,
528,1971.12.23,1971,12,,,Unprovoked,unknown,New South Wales,Smokey Cape,unknown,22,N,unknown,
529,1971.12.05,1971,12,,,Unprovoked,unknown,Queensland,Gladstone,M,20,Y,unknown,
530,1971.11.25.R,1971,10,,,Provoked,unknown,New South Wales,"Marineland, Sydney",unknown,20,N,unknown,
531,1971.09.05,1971,9,,,Unprovoked,Fishing,South Australia,Adelaide,M,51,Y,unknown,
532,1971.08.21,1971,8,13.0,Afternoon,Provoked,Scuba diving & feeding fish,New South Wales,"Manly Marineland, Sydney",M,26,N,"Grey nurse shark, 11'",nurse
533,1971.01.02,1971,1,16.0,Late afternoon,Unprovoked,Swimming,Tasmania,unknown,M,unknown,N,unknown,
534,1971.00.00.c,1971,5,,,Unprovoked,Surfing,South Australia,Southport,M,15,N,White shark,white
535,1970.09.02,1970,9,,,Provoked,unknown,New South Wales,"Marineland, Sydney",M,20,N,unknown,
536,1969.11.30,1969,11,14.0,Afternoon,Unprovoked,Swimming,Western Australia,"Swan River, 13 miles upstream",M,15,N,unknown,
537,1969.11.05,1969,11,,,Provoked,unknown,New South Wales,"Marineland, Sydney",M,27,N,unknown,
538,1969.05.14,1969,5,,,Unprovoked,unknown,Queensland,Broomfield Reef,unknown,unknown,N,unknown,
539,1969.04.22,1969,4,,,unknown,Netting pilchards,New South Wales,"Kingscliffe Beach, south of Tweed Heads",M,unknown,N,"Considered a ""Doubtful"" incident",
540,1969.03.25,1969,3,,,Provoked,unknown,New South Wales,Newcastle,M,65,N,Mako shark,mako
541,1969.02.17.R,1969,2,12.0,Midday,Provoked,Fishing,Tasmania,Taroona,M,49,N,7-gill shark,
542,1969.02.00,1969,2,,,unknown,Hard hat diving,Queensland,Cooktown,M,52,unknown,Unconfirmed incident,
543,1969.01.27,1969,1,7.0,Early morning,Unprovoked,Freediving,New South Wales,Beecroft Head,M,21,N,unknown,
544,1969.01.00,1969,1,,,Unprovoked,unknown,Victoria,Port MacDonnel,M,unknown,N,Carpet shark,carpet
545,1968.12.26,1968,12,8.0,Morning,Provoked,Feeding mullet to sharks,New South Wales,"Marineland Aquarium, Manley, Sydney",M,27,N,"Grey nurse shark, 10' ",nurse
546,1968.12.09,1968,12,,,Unprovoked,unknown,South Australia,Thistle Island,M,unknown,N,White shark,white
547,1968.11.02,1968,11,15.0,Late afternoon,Provoked,unknown,Western Australia,unknown,M,16,N,unknown,
548,1968.04.15,1968,4,,,Unprovoked,"Diving. Shark ï¿½swallowedï¿½ his hand, so he threw his other around the shark and went ï¿½shark-back ridingï¿½ for 30 yards until the shark opened its jaws",New South Wales,South Coast,M,21,N,"Bronze whaler shark, 1.8 m [6'] ",whaler
549,1968.04.07,1968,4,6.0,Early morning,Provoked,unknown,New South Wales,Stockton Bight,M,47,N,"""Blue whaler"" (Galeolamna)",
550,1968.02.20,1968,2,16.0,Late afternoon,Unprovoked,Swimming,Western Australia,Swan River,F,14,N,unknown,
551,1968.02.04,1968,2,18.0,Nightfall,Unprovoked,Spearfishing,South Australia,Cape Jervis,M,26,N,"Bronze whaler shark, 3 m [10'] ",whaler
552,1968.02.02,1968,2,,,Unprovoked,unknown,New South Wales,Brunswick Heads,unknown,unknown,N,unknown,
553,1967.12.17,1967,12,7.0,Early morning,Unprovoked,Swimming,Victoria,"Cheviot Beach, Portsea, Port Phillip Bay",M,59,Y,unknown,
554,1967.11.30.b,1967,11,,,Provoked,Freediving,New South Wales,Wollongong,M,15,N,Grey nurse shark,nurse
555,1967.11.30.a,1967,11,,,Unprovoked,unknown,Queensland,Surfer's Paradise,M,18,N,Grey nurse shark,nurse
556,1967.08.19,1967,8,11.0,Midday,Unprovoked,"Spearfishing, dived to pick up a float line",Western Australia,Jurien Bay,M,23,Y,White shark,white
557,1967.08.10,1967,8,21.0,Night,unknown,Anti-sabotage night dive exercise alongside destroyer (Scuba diving),New South Wales,Jervis Bay,M,19,Y,unknown,
558,1967.05.13,1967,5,8.0,Morning,Provoked,unknown,South Australia,Outer Harbor,M,30,N,Bronze whaler shark,whaler
559,1967.03.12,1967,3,15.0,Late afternoon,Provoked,Spearfishing,Victoria,Geelong,M,36,N,Grey nurse shark,nurse
560,1967.03.10,1967,3,,,unknown,Vehicle plunged over cliff into the water,New South Wales,"Dover Heights, Sydney",unknown,unknown,Y,unknown,
561,1967.01.06,1967,1,,,Provoked,Splashing,Victoria,Goolwa,M,15,N,"""sand shark""",
562,1966.12.31,1966,12,,,Unprovoked,Fishing,Tasmania,"Piccaninny Point, 10 miles from Bicheno",M,30,N,2.1 m [7'] shark,
563,1966.12.27.b,1966,12,,,Provoked,Spearfishing,New South Wales,South West Rocks,M,29,N,"Grey nurse shark, 1.5 m [5'] ",nurse
564,1966.12.27.a,1966,12,,,Unprovoked,Spearfishing,New South Wales,Trial Bay,M,19,N,"Grey nurse shark, 1.5 m [5']",nurse
565,1966.12.26,1966,12,,,Unprovoked,Spearfishing,New South Wales,Coogee,M,29,N,1.8 m [6'] shark,
566,1966.09.27,1966,9,16.0,Late afternoon,Unprovoked,"Free diving, carrying speargun",Queensland,"Broomfield Island, 11 miles from Heron Island on the Great Barrier Reef",M,32,N,"Bronze whaler shark, 2.1 m [7'], a tooth was embedded in the speargun ",whaler
567,1966.09.18,1966,9,,,unknown,Spearfishing,Western Australia,"Little Beach Reef, Bremer Bay",M,unknown,N,unknown,
568,1966.09.13,1966,9,16.0,Late afternoon,Provoked,Spearfishing,Western Australia,Albany,M,unknown,unknown,unknown,
569,1966.09.10,1966,9,12.0,Midday,Unprovoked,Spearfishing,Western Australia,Roe Reef off Rottnest Island,M,43,N,"Mako shark, 1.9 m [6.5'] ",mako
570,1966.08.28,1966,8,,,Boat,unknown,Northern Territory,Darwin Harbour,M,unknown,N,unknown,
571,1966.05.20.c,1966,5,21.0,Night,Sea Disaster,Sinking of the dredge World Atlas,New South Wales,Jervis Bay,M,40,Y,unknown,
572,1966.05.20.b,1966,5,1.0,Midnight,Unprovoked,Fishing,New South Wales, Bellingen,M,unknown,N,1.8 m [6'] shark,
573,1966.04.00,1966,4,,,Sea Disaster,Overturned skiff,New South Wales,"Botany Bay, Sydney",M,unknown,N,unknown,
574,1966.03.20,1966,3,,,Provoked,Fishing (big game),New South Wales,Maroubra,unknown,unknown,N,"Alleged to involve a White shark, 7.6 m [25'] ",white
575,1966.02.27,1966,2,14.0,Afternoon,Unprovoked,Treading water,New South Wales,Coledale Beach,M,13,N,"White shark, 2.5 m [8.25'], an immature female, previously injured",white
576,1966.01.15,1966,1,,,Unprovoked,Spearfishing,New South Wales,Bellambi,M,30,N,"Wobbegong shark, 5' ",wobbegong
577,1966.01.10,1966,1,,,Unprovoked,Jumped into the water,Western Australia,Woodman Point,M,43,N,76 cm [2.5'] carpet shark,carpet
578,1965.12.28,1965,12,,,Unprovoked,"Spearfishing, but standing in knee-deep water",Western Australia,"Bathurst Reef, Rottnest Island",M,40,N,1.8 m [6'] carpet shark,carpet
579,1965.12.10,1965,12,10.0,Morning,Boat,Fishing,South Australia,Cape Jervis,unknown,unknown,N,15' shark,
580,1965.11.21.b,1965,11,,,Provoked,Fishing from 34' boat when pulled overboard by hooked shark,Queensland,Near Brisbane,M,43,Y,4.6 m [15'] shark,
581,1965.11.03.a,1965,11,16.0,Late afternoon,Unprovoked,Surfing,Queensland,Oak Beach,M,24,N,"Grey nurse shark, 2.4 m [8'] ",nurse
582,1965.01.10,1965,1,,,Unprovoked,Swimming,Victoria,"East of Station Pier, Port Melbourne",M,unknown,N,1.5 m [5'] shark,
583,1964.12.10.a,1964,12,10.0,Morning,Boat,Fishing,New South Wales,Port Jervis,unknown,unknown,N,4.6 m [15'] shark,
584,1964.11.29,1964,11,14.0,Afternoon,Unprovoked,Free diving with seals,Victoria,Lady Julia Percy Island,M,25,N,"White shark, 2.4 m [8'] ",white
585,1964.11.18,1964,11,13.0,Afternoon,Unprovoked,Swimming out to rescue swimmers in difficulty,Queensland,"Fingal Beach, near Tweed Heads",M,29,Y,unknown,
586,1964.11.13,1964,11,,,Provoked,"Filming underwater, carrying powerhead",New South Wales,"North Solitary Island, 8 miles from Wolli",M,25,N,"White shark, 2.7 m [9'1""], 750-lb ",white
587,1964.10.04,1964,10,9.0,Morning,Unprovoked,"Surfing, but swimming to his board",Western Australia,"Avalon Beach, near Mandurah, 50 miles south of Perth",M,19,N,"Grey nurse shark, 1.8 m [6']",nurse
588,1964.03.28.b,1964,3,,,Unprovoked,Surfing,South Australia,Surfers Paradise Beach near Victor Harbour,M,19,N,1.8 m [6'] shark,
589,1964.02.02,1964,2,9.0,Morning,unknown,Swimming,Queensland,Brisbane,M,23,Y,unknown,
590,1964.01.18,1964,1,,,Unprovoked,Freediving,Western Australia,Hamelin Bay,M,unknown,N,Wobbegong,
591,1964.01.01.b,1964,1,,,Unprovoked,unknown,Western Australia,Metro coast,unknown,unknown,unknown,unknown,
592,1963.12.26.a,1963,12,5.0,Dawn,Unprovoked,Sitting on gunwale of boat,Queensland,"Figtree Ledge, Hervey Bay",M,unknown,N,"4.3 m [14'], 1000-lb shark",
593,1963.12.21,1963,12,,,Provoked,Fishing,New South Wales,"Woolgoolga, Coffs Harbour",M,unknown,N,"Wobbegong shark, 3' ",wobbegong
594,1963.12.08,1963,12,12.0,Midday,Unprovoked,Spearfishing,South Australia,55 miles south of Adelaide,M,23,N,White shark,white
595,1963.11.14,1963,11,,,Provoked,Catching sharks under government contract,Queensland,Mermaid Beach,M,unknown,N,"White shark, 15'2"" ",white
596,1963.09.13,1963,9,9.0,Morning,Provoked,Surfing,New South Wales,Wanda Beach,M,18,N,1.5 m [5'] shark,
597,1963.04.22,1963,4,,,Provoked,Fishing,New South Wales,Clarence Head,M,unknown,N,Grey nurse shark,nurse
598,1963.04.13,1963,4,,,Unprovoked,"Surfing on ""chest board"" (boogie board?)",Western Australia,Yallingup,M,25,N,1.8 m to 2.4 m  [6' to 8'] shark,
599,1963.02.24,1963,2,14.0,Afternoon,Unprovoked,Spearfishing,New South Wales,Wombarra Beach near Austinmeer,M,18,N,"Bronze whaler shark, 3 m [10'] ",whaler
600,1963.01.28,1963,1,13.0,Afternoon,Unprovoked,Wading,New South Wales,"Sugarloaf Bay, Middle Harbour, Sydney",F,32,Y,"Tooth fragments of ï¿½whalerï¿½ shark were recovered, a bull shark, according to Edwards",
601,1963.01.26,1963,1,16.0,Late afternoon,unknown,Swimming,New South Wales,Evans Head,M,25,Y,unknown,
602,1963.01.04,1963,1,,,Provoked,Shark fishing,South Australia,Off Franklin Island between Streaky Bay & Ceduna,unknown,unknown,N,"White shark, 16', 2,312-lb ",white
603,1962.12.09,1962,12,14.0,Afternoon,Unprovoked,Spearfishing,South Australia,Carrickalinga Head,M,16,Y,"White shark, 4.3 m [14'] (or bronze whaler)",white
604,1962.11.29,1962,11,,,Unprovoked,"Spearfishing, Scuba diving",New South Wales,Sydney,M,26,N,3 m [10'] shark,
605,1962.11.25,1962,11,,,unknown,unknown,Queensland,Townsville,M,unknown,Y,unknown,
606,1962.11.10,1962,11,,,Boat,Fishing,New South Wales,Off Kisma,unknown,unknown,N,3 m [10'] blue whaler,
607,1962.10.14,1962,10,,,Boat,Adrift after wave swamped engine,South Australia,Port Phillip Bay,M,unknown,N,Grey nurse shark,nurse
608,1962.06.07,1962,6,7.0,Early morning,Boat,Fishing,Western Australia,Emu Point,unknown,unknown,N,unknown,
609,1962.04.20,1962,4,,,Provoked,Fishing,Queensland,Nobbys Beach,unknown,unknown,N,"Bronze whaler shark, 3.7 m [12'] ",whaler
610,1962.03.25.a,1962,3,,,Boat,Fishing & spearfishing,New South Wales,Norah Head,unknown,unknown,N,"Bronze whaler shark, 4.6 m [15'] ",whaler
611,1962.02.15,1962,2,7.0,Early morning,Unprovoked,Fishing for snappers & cleaning mullet. Put mullet over side of boat to wash it,Queensland,Between Smithï¿½s Rock & Moreton Island,M,unknown,N,3.7 m [12'] shark,
612,1962.02.04,1962,2,14.0,Afternoon,Unprovoked,Swimming,Queensland,Greenmount Beach,M,35,N,60 cm  shark ,
613,1962.01.21,1962,1,,,Provoked,Spearfishing,New South Wales,Cronulla,M,19,N,"Bronze whaler shark,  3m [10'] ",whaler
614,1962.01.14.b,1962,1,,,Provoked,Spearfishing,New South Wales,"Long Reef, North Manly",unknown,unknown,N," Grey nurse shark,  3 m [10'] ",nurse
615,1962.01.14.a,1962,1,13.0,Afternoon,Unprovoked,Surfing,New South Wales,"Lennox Head, Ballina",M,19,N,"2.1 m [7'] shark, a shark's serrated tooth recovered from toe",
616,1962.01.11.c,1962,1,,,Boat,Fishing,South Australia,Marino,unknown,unknown,N,Said to involve a Grey nurse shark 3.7 m [12'] ,nurse
617,1962.01.10,1962,1,,,Boat,Fishing for sharks,South Australia,Ceduna,unknown,unknown,N,White shark,white
618,1962.01.08,1962,1,,,unknown,Swimming,New South Wales,Lake Illawarra,M,25,Y,10' whale,
619,1962.01.07.b,1962,1,,,Provoked,Rowing,Queensland,Dicky Beach,unknown,unknown,N,unknown,
620,1962.01.07.a,1962,1,,,Unprovoked,Surfing,New South Wales,Sydney,unknown,unknown,N,unknown,
621,1962.01.02,1962,1,,,Provoked,Fishing,New South Wales,"Seaspray, near Sale",unknown,unknown,N,2.7 m [9'] shark,
622,1961.12.28.c,1961,12,16.0,Late afternoon,Unprovoked,Standing,Queensland,"Lambert's Beach, Mackay",F,18,Y,3 m [10'] shark,
623,1961.12.28.b,1961,12,16.0,Late afternoon,Unprovoked,Standing,Queensland,"Lambertï¿½s Beach, Mackay",M,24,N,3 m [10'] shark,
624,1961.12.27,1961,12,7.0,Early morning,Provoked,Spearfishing,Western Australia,"North of main swimming area in Waterman's Bay Beach, Perth",M,23,N,"Grey nurse shark, 2.4 m [8'] ",nurse
625,1961.12.19,1961,12,,,Boat,"Fishing, hauling in a 5-lb snapper",South Australia,Cowell,unknown,unknown,N,2.7 m [9'] shark,
626,1961.12.18.a,1961,12,6.0,Early morning,Unprovoked,"Surfing, pushing board ashore",Queensland,Noosa Heads,M,22,Y,Next morning a 3 m [10'] shark was caught that had Andrews' leg in its gut,
627,1961.12.13,1961,12,14.0,Afternoon,Unprovoked,Swimming with other crew near wharf,Torres Strait,"Horn Island, near Thursday Island",M,17,N,1.8 m [6'] shark,
628,1961.09.06,1961,9,,,unknown,Attaching a line at sea,Western Australia,Broome,unknown,unknown,Y,unknown,
629,1961.07.07.b,1961,7,,,Provoked,Shark fishing,Queensland,Cape Moreton,unknown,unknown,N,"White shark, 5.2 m [17'], 2500-lb ",white
630,1961.05.07,1961,5,,,Provoked,Spearfishing,Western Australia,"Quinnï¿½s Rocks, south of Yanchep",M,unknown,N,unknown,
631,1961.04.25,1961,4,12.0,Midday,Provoked,Spearfishing,New South Wales,"Trial Bay, north of Kempsey",M,unknown,N,"Wobbegong shark, 1.4 m [4'6""] ",wobbegong
632,1961.04.16.a,1961,4,,,Provoked,Spearfishing,New South Wales,Otford,M,21,N,"Wobbegong shark, O. barbatus,  1.8 m [6'], identified by G.P. Whitley",wobbegong
633,1961.04.14,1961,4,21.0,Night,Unprovoked,"Checking fish traps, fell into the water",New South Wales,10 miles off Nambucca Heads  onboard trawler,M,40,N," ""gummy"" shark (Rhizoprionodon or Loxodon) 1.2 m [4']",
634,1961.04.03,1961,4,,,Unprovoked,Spearfishing,Victoria,Flinders Island,M,24,N,"Grey nurse shark, 2,7 m [9'], 200-lb ",nurse
635,1961.04.00,1961,4,,,Provoked,Spearfishing,Western Australia,Rottnest Island,M,unknown,N,"Wobbegong shark, 1.4 m [4.6'] ",wobbegong
636,1961.03.30,1961,3,,,Unprovoked,Spearfishing,South Australia,Glenelg Breakwater,M,24,N,"Bronze whaler shark, 2.4 m [8'] Identified by Clyde Buttery",whaler
637,1961.03.18,1961,3,16.0,Late afternoon,Unprovoked,Swimming,Victoria,Lady Beach at Warrnambool,M,24,N,3 m [10'] shark,
638,1961.03.14,1961,3,,,Provoked,Fishing from dinghy,Western Australia,Shark Bay,F,unknown,N,unknown,
639,1961.03.12,1961,3,14.0,Afternoon,Unprovoked,Spearfishing,South Australia,Aldinga Beach,M,21,N,"White shark, 3.7 m [12'] ",white
640,1961.02.17.a,1961,2,18.0,Nightfall,Unprovoked,Standing,Victoria,Mount Martha Beach,F,unknown,N,"2' ""banjo shark""",
641,1961.02.01.a,1961,2,,,Unprovoked,Collecting crayfish,Western Australia,Carnac Island,M,unknown,N,"Grey nurse shark, 2.7 m [9'] ",nurse
642,1961.01.15,1961,1,8.0,Morning,Provoked,Collecting aquarium specimens,New South Wales,Cook Island,M,27,N,"Wobbegong shark, 1.5 m [5'] ",wobbegong
643,1961.01.06.a,1961,1,,,Provoked,Fishing,Northern Territory,"Stokes Hill Wharf, Darwin",M,unknown,N,"Hammerhead shark, 1.8 m [6'] ",hammerhead
644,1961.01.02.R,1961,1,,,Boat,Ocean racing,Tasmania,Off Tasman Island,unknown,unknown,N,unknown,
645,1961.00.00.e,1961,5,,,Boat,Fishing for mackerel,New South Wales,South coast,unknown,unknown,N,unknown,
646,1960.12.27.a.,1960,12,,,Unprovoked,unknown,New South Wales,"Bondi Beach, Sydney",F,27,N,3 m [10'] shark,
647,1960.12.20,1960,12,9.0,Morning,Unprovoked,"Fishing, when line became snagged on rock & he dived into water to free it ",Queensland,"Collegeï¿½s Crossing, 54 miles above mouth of the Brisbane River",M,33,N,"Grey nurse shark, 1m ",nurse
648,1960.12.01,1960,12,,,Unprovoked,Fishing,Queensland,"Colledge's Crossing, Brisbane River",M,unknown,N,"Bull shark, 1m ",bull
649,1960.11.27,1960,11,14.0,Afternoon,Unprovoked,Swimming,Queensland,"Blackï¿½s Beach, 9 miles north of Mackay",M,41,N,3' shark,
650,1960.11.11,1960,11,15.0,Late afternoon,Provoked,Chasing shark out of bathing area while riding on a surf-ski,Queensland,"Scottï¿½s Point, Redcliffe Peninsula",M,17,N,unknown,
651,1960.11.06,1960,11,,,Unprovoked,"Spearfishing, speared fish retreated to cave where shark grabbed his arm",Western Australia,Hamelin Bay,M,24,N,"Wobbegong shark, 1.8 m [6'] ",wobbegong
652,1960.10.02,1960,10,,,unknown,Fishing,New South Wales,North Head,M,24,N,Shark involvement not confirmed,
653,1960.09.18,1960,9,,,Boat,unknown,Western Australia,Frenchman Bay,unknown,unknown,N,3.7 m [12'] shark,
654,1960.04.22,1960,4,,,Provoked,"Fishing, hauling in a set line",Western Australia,Rottnest Island,M,unknown,N,"Bronze whaler shark, 3 m [10'], 200-lb",whaler
655,1960.04.12,1960,4,16.0,Late afternoon,Unprovoked,Surfing,New South Wales,"Horseshoe Bay, near Kempsey",M,17,N,"White shark, 3.7 m [12'] ",white
656,1960.04.10,1960,4,,,Provoked,"Spearfishing, shot a sandtiger shark. Cord to spear tangled round his legs & a wave washed him onto a reef.",Western Australia,Off Rottnest Island,M,unknown,N,"Sandtiger shark, 2.1 m [7'] ",sandtiger
657,1960.04.03.b,1960,4,,,Unprovoked,Spearfishing,Victoria,"Canadian Bay near Mount Eliza, 30 miles from Melbourne",M,unknown,N,1.5 m [5'] shark,
658,1960.04.03.a,1960,4,12.0,Midday,Unprovoked,"Speared a grouper, saw shark but it came for him instead of the fish so he fired spear into sharkï¿½s mouth. Then shark took grouper but unable to swallow because of the spear in its mouth.",New South Wales,Off Broughton Island near Port Stephens,M,unknown,N,"Bronze whaler shark, 3.7 m [12'] identified by G.P. Whitley based on description",whaler
659,1960.04.01,1960,4,,,Provoked,Shark fishing,South Australia,Hog Bay,unknown,unknown,N,White shark,white
660,1960.02.29,1960,2,21.0,Night,Unprovoked,"Wading, fishing for flounder",Tasmania,Ralph Bay,M,31,N,Two 2.1 m [7'] sharks,
661,1960.02.10.,1960,2,,,Provoked,Shark fishing,New South Wales,Near Bondi Beach,unknown,unknown,N,"Tiger shark, 14' ",tiger
662,1960.02.07,1960,2,,,Provoked,Spearfishing,New South Wales,Wattamolla National Park,M,20,N,"Grey nurse shark, 2.9 m [9'6""] ",nurse
663,1960.01.21,1960,1,,,Boat,unknown,South Australia,Millicent,unknown,unknown,N,Blue pointer,mako
664,1960.01.16,1960,1,15.0,Late afternoon,Unprovoked,Free diving,New South Wales,"Just below Roseville Bridge, opposite Killarney picnic reserve, Middle Harbor, Sydney",M,13,Y,Bull shark,bull
665,1960.01.13,1960,1,17.0,Dusk,Provoked,"Fishing, lifting shark out of craypot",Western Australia,Geraldton,M,unknown,N,Wobbegong shark,wobbegong
666,1960.01.07,1960,1,9.0,Morning,Boat,Setting crayfish pots,Tasmania,Eaglehawk Neck,unknown,unknown,N,4.9 m [16'] shark,
667,1959.12.29,1959,12,14.0,Afternoon,Boat,Paddling,Queensland,Scotts Point Beach ,unknown,unknown,N,3.7 m [12'] tiger shark,tiger
668,1959.12.28,1959,12,23.0,Late night,Boat,Fishing,New South Wales,"Leichardt, Sydney",unknown,40,N,2.4 m  [8'] shark,
669,1959.12.19.b,1959,12,6.0,Early morning,Unprovoked,Dived from dinghy to retrieve oar in heavy seas,Queensland,"Off Wynnum in Moreton Bay, near Brisbane",M,29,Y,unknown,
670,1959.12.11,1959,12,,,Provoked,"Spearfishing, Smith  & Walker touched shark with tip of their guns",Victoria,"Altona, Melbourne",M,26,N,2.7 m [9']  shark,
671,1959.12.07,1959,12,,,unknown,Spearfishing,South Australia,Laura Bay,M,unknown,N,unknown,
672,1959.11.29,1959,11,14.0,Afternoon,Unprovoked,Body surfing,Victoria,"Fairhaven Beach, Lorne",M,19,N,3.5 m [11.5'] shark,
673,1959.11.28,1959,11,7.0,Early morning,Unprovoked,Standing in chest-deep water,Queensland,"North Burleigh, near Brisbane",M,17,N,"""a small shark""",small
674,1959.11.22,1959,11,11.0,Midday,Unprovoked,Trailing the field in a surf race,Queensland,"Surfer's Paradise, Northcliffe",M,19,N,3 m to 4.3 m [10' to 14'] shark,
675,1959.11.12.R,1959,11,,,Provoked,Shark fishing,South Australia,Near Port Vincent,unknown,unknown,N,6 m [20'] shark,
676,1959.11.09,1959,11,,,Provoked,"Spearfishing, shot shark, hauled it onto boat",Western Australia, Perth,M,unknown,N,"Carpet shark, 1.5 m [5']",carpet
677,1959.08.30,1959,8,,,unknown,Swimming,Tasmania,unknown,M,unknown,N,Sandtiger shark,sandtiger
678,1959.04.27,1959,4,,,unknown,Spearfishing,New South Wales,Maroubra Bay,M,22,N,unknown,
679,1959.04.11,1959,4,,,Unprovoked,Diving for pearl shell,Torres Strait,"Coconut Island , 100 miles east of Thursday Island",M,43,N,"Tiger shark, 1.8 m [6'] ",tiger
680,1959.04.05,1959,4,,,Unprovoked,Spearfishing,New South Wales,Thirroul,M,unknown,N,unknown,
681,1959.02.28,1959,2,,,Boat,Fishing for snapper,Victoria,Port Phillip Bay,M,unknown,N,"Mako shark, 2.4 m [8'], <300-lb, identified by Dr. L.P. L. Schultz on photograph",mako
682,1959.01.31,1959,1,21.0,Night,Unprovoked,Working prawn net,Western Australia,South Perth,M,20,N,"Grey nurse shark, 1.8 m [6']",nurse
683,1959.01.25,1959,1,,,Unprovoked,Swimming with motor tube,Tasmania,"Whale Bay, King Island, Bass Strait",M,16,N,unknown,
684,1959.01.17.b,1959,1,16.0,Late afternoon,Unprovoked,In deep water about 100 yards from his ship,Tasmania,Safety Cove,M,22,Y,Said to involve 2 sharks: 5.2 m & 6 m [17' & 20'] ,
685,1959.01.17.a,1959,1,9.0,Morning,Unprovoked,"Surfing, but treading water",Queensland,Alexandra Headland near Mooloolaba,M,17,N,1.8 m [6'] shark,
686,1959.01.00,1959,1,,,Unprovoked,Spearfishing / free diving,Tasmania,Badger Head,M,unknown,N,1.5 m [5'] shark,
687,1958.11.23,1958,11,15.0,Late afternoon,Unprovoked,Swimming,Queensland,Surfer's Paradise,M,21,Y,12' shark,
688,1958.06.15,1958,6,,,unknown,Swimming,Queensland,Green Island,F,unknown,N,5' shark,
689,1958.02.19,1958,2,16.0,Late afternoon,unknown,Spearfishing,New South Wales,unknown,M,21,Y,unknown,
690,1958.01.27,1958,1,,,Unprovoked,Spearfishing / swimming on surface,New South Wales,5 miles south of Sussex Inlet at mouth of Berara Lake,M,17,N,unknown,
691,1958.01.19,1958,1,16.0,Late afternoon,Unprovoked,Body surfing,New South Wales,Brunswick Heads,M,14,N,6' shark,
692,1957.12.31,1957,12,,,Unprovoked,Spearfishing,South Australia,"Port Hughes, 100 miles from Adelaide in Spencer Gulf",M,unknown,N,unknown,
693,1957.11.04.R,1957,11,,,Boat,Fishing,New South Wales,Off Scotts,unknown,unknown,N,unknown,
694,1957.07.09,1957,7,,,Unprovoked,Diving for trochus,Torres Strait,Near Thursday Island,M,36,N,9' shark,
695,1957.05.11,1957,5,12.0,Midday,Unprovoked,Competing in spearfishing championship & towing dead fish,New South Wales,"Tea Gardens, north of Newcastle",M,28,N,4.6 m [15'] shark,
696,1957.04.23,1957,4,,,Unprovoked,Surfing,New South Wales,"Merewether Beach, Newcastle",M,15,N,Wobbegong shark?,wobbegong
697,1957.04.13,1957,4,14.0,Afternoon,Unprovoked,Swimming between  anchored  pearling luggers,Torres Strait,"Thursday Island Harbour, Queensland",M,22,N,Shark seen feeding on turtle scraps thrown overboard prior to incident.,
698,1957.02.02,1957,2,,,Unprovoked,unknown,Western Australia,Cape Levï¿½que,M,unknown,unknown,unknown,
699,1956.08.15.b,1956,8,,,Provoked,Diving,Queensland,Near Southport,M,unknown,N,"Wobbegong shark, 4' ",wobbegong
